"编号","歌名","歌手","语言","曲风","点歌类型"
"001","你","屠洪刚","中文","华语流行","免费"
"002","问","陈淑桦","中文","华语流行","免费"
"003","笼","张碧晨","中文","华语流行","免费"
"004","默","那英","中文","华语流行","免费"
"005","摘","陈抒妮","中文","华语流行","免费"
"006","我问","周传雄","中文","华语流行","免费"
"007","问风","金渔","中文","华语流行","免费"
"008","时差","Jeffrey董又霖","中文","华语流行","免费"
"009","忘了","周林枫","中文","华语流行","免费"
"010","万疆","李玉刚","中文","华语流行","免费"
"011","怜悯","部白","中文","华语流行","免费"
"012","梦返","黄霄雲","中文","华语流行","免费"
"013","昔涟","张韶涵 / HOYO-MiX","中文","华语流行","免费"
"014","小半","陈粒","中文","华语流行","免费"
"015","初恋","林志美","中文","华语流行","免费"
"016","歌者","田嘉瑞","中文","华语流行","免费"
"017","孤雏","何仟仟","中文","华语流行","免费"
"018","珠玉","单依纯","中文","华语流行","免费"
"019","弄舌","王子健","中文","华语流行","免费"
"020","侧脸","于果","中文","华语流行","免费"
"021","化凡","杨子熙","中文","华语流行","免费"
"022","芊芊","回音哥","中文","华语流行","免费"
"023","座位","承桓","中文","华语流行","免费"
"024","太阳","邱振哲 (Qiu Pika)","中文","华语流行","免费"
"025","失控","井迪","中文","华语流行","免费"
"026","海底","柏依昕 / 林楠可","中文","华语流行","免费"
"027","晚婚","江蕙","中文","华语流行","免费"
"028","秋风","四熹丸子","中文","华语流行","免费"
"029","暧昧","薛之谦","中文","华语流行","免费"
"030","谦让","王靖雯","中文","华语流行","免费"
"031","听海","张惠妹","中文","华语流行","免费"
"032","画心","张靓颖","中文","华语流行","免费"
"033","尘埃","家家","中文","华语流行","免费"
"034","遇到","方雅贤","中文","华语流行","免费"
"035","雨蝶","李翊君","中文","华语流行","免费"
"036","太多","陈冠蒲","中文","华语流行","免费"
"037","骗我","欧姐","中文","华语流行","免费"
"038","慢冷","梁静茹","中文","华语流行","免费"
"039","如愿","王菲","中文","华语流行","免费"
"040","命运","家家","中文","华语流行","免费"
"041","指纹","胡歌","中文","华语流行","免费"
"042","阿刁","赵雷","中文","华语流行","免费"
"043","来迟","戴羽彤","中文","华语流行","免费"
"044","暖暖","梁静茹","中文","华语流行","免费"
"045","勇气","梁静茹","中文","华语流行","免费"
"046","心墙","郭静","中文","华语流行","免费"
"047","叶子","阿桑","中文","华语流行","免费"
"048","诀爱","Faye 詹雯婷","中文","华语流行","免费"
"049","沦陷","李嘉格","中文","华语流行","免费"
"050","善变","王靖雯","中文","华语流行","免费"
"051","白鸽","伍佰 & China Blue","中文","华语流行","免费"
"052","倒数","G.E.M. 邓紫棋","中文","华语流行","免费"
"053","泡沫","G.E.M. 邓紫棋","中文","华语流行","免费"
"054","破茧","张韶涵","中文","华语流行","免费"
"055","爱你","王心凌","中文","华语流行","免费"
"056","体面","于文文","中文","华语流行","免费"
"057","迷宫","step.jad依加","中文","华语流行","免费"
"058","失忆","梁静茹","中文","华语流行","免费"
"059","偏向","陈子晴","中文","华语流行","免费"
"060","煎熬","李佳薇","中文","华语流行","免费"
"061","天际","姜玉阳","中文","华语流行","免费"
"062","情歌","梁静茹","中文","华语流行","免费"
"063","情罪","陈瑞","中文","华语流行","免费"
"064","预谋","许佳慧","中文","华语流行","免费"
"065","小小","容祖儿","中文","华语流行","免费"
"066","舍得","王唯旖","中文","华语流行","免费"
"067","天知河","说说Crystal","中文","华语流行","免费"
